PieceName;R;G;B;WorldMatrix1;WorldMatrix2;WorldMatrix3;WorldMatrix4;WorldMatrix5;WorldMatrix6;WorldMatrix7;WorldMatrix8;WorldMatrix9;WorldMatrix10;WorldMatrix11;WorldMatrix12;WorldMatrix13;WorldMatrix14;WorldMatrix15;WorldMatrix16
1by1.STL;255;255;255;1;0;0;0;0;1;0;-4;0;0;1;0;0;0;0;1
special.STL;0;0;255;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
